,tweet,likes,country,candidate,retweet_count
52,"“Wind is extremely expensive, it kills all the birds” - #Trump #PresidentialDebate2020 #Debates2020",1.0,Bahamas,Trump,
53,President-Elect Biden indecipherable during rally appearances few weeks ago. Pretty hilarious 😆 #BidenHarris2020 #Trump #DonaldTrump #Election2020results #Election2020  #PresidentElectJoe #elections #JoeBiden https://t.co/wL8lsbjyxE,1.0,Bahamas,Trump,
54,"الرئيس دونالد ترامب من الرؤساء اللذين تبرعوا برواتبهم!!!!!
@OKAZ_online 
#Trump2020  Trump is one of three US leaders who donated his monthly salary. 
#Trump https://t.co/H4kq2pSRP9",35.0,Bahrain,Trump,
55,"صورة تعبر الكثير عن الرئيس الأمريكي دونالد ترامب
A great picture with very deep meanings
#TrumpvsBiden #Trump
#ترامب_بايدن
اندبندنت عربية/ عاجل ... تعرف إلى الولايات التي فاز فيها ترمب وبايدن حتى الآن - عبر تطبيق نبض @NabdApp 
https://t.co/F89KiPB4m1 https://t.co/lzz8ARQRs5",14.0,Bahrain,Trump,
56,"Joe Biden wins the presidency, defeats Trump: reports

Visit our website (link in bio) for more details

#bahrain #manama #GDNOnline #dxb #dubai #election #uae #donaldtrump #saudiarabia #joebiden #usa #kuwait #unitedstates #middleeast #worldnews https://t.co/66M6aWwF5k",12.0,Bahrain,Trump,
57,"نحب حمر النواظر لهذه الاسباب 😀
#الملك_حمد ربي يحفظه قائد نهضتنا 💙
#البحرين 
#ترامب 
#Trump 
#Elections2020 https://t.co/4anlatPWId",11.0,Bahrain,Trump,
58,"Kamala Harris breaks barriers as America's next vice president

Read More - https://t.co/92s9BXOBHc

#bahrain #manama #GDNOnline #dxb #dubai #election #uae #donaldtrump #saudiarabia #joebiden #usa #kuwait #unitedstates #middleeast  #kamalaharris #vicepresident #president https://t.co/FSjcdzbO0U",8.0,Bahrain,Trump,
59,Like for Biden ❤️ Retweet for trump #Trump o Biden #USElection2020 #AmericaDecides2020 https://t.co/E8qij3P0UM https://t.co/AtM70SeCnP,471.0,Bangladesh,Trump,
60,"ক্রমাগত চীনের বিরোধিতা করা আসা মার্কিন প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের চীনের একটি ব্যাংকে অ্যাকাউন্ট আছে বলে জানা গেছে #DonaldTrump 
https://t.co/W4MUSaz0BW",217.0,Bangladesh,Trump,
61,"@realDonaldTrump  dance after winning the election

#DonaldTrump 
#ElectionNight 
#Election2020 
#PresidentialElection 
#USAElections2020 
#Trump2020 
#TrumpCollapse 
#TrumpVsBidenFight https://t.co/ueZ2Xuz0Y8",176.0,Bangladesh,Trump,
62,"Look at India, it's Filthy! The Air is Filthy!

- Modi's so-called friend #Trump remarks on #India. 

#Debate2020 https://t.co/zVoEqv0Ame",140.0,Bangladesh,Trump,
63,"ফিলাডেলফিয়ায় ভোট গণনা বন্ধে প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের আবেদন খারিজ করে দিয়েছেন এক মার্কিন ফেডারেল আদালত #DonaldTrump #USElectionResults 
https://t.co/LikIkFB4dA",107.0,Bangladesh,Trump,
64,"@FloridaMan__ Lemme make sure I get this right ... sooo ... *checks notes* ... the 1st #tRump supporter vandalized the property of the 2nd #tRump supporter,  because the 1st #tRump supporter believed that 2nd #tRump supporter was making #TrumpCovid19 look 'too racist'? 

Did I get it all?? https://t.co/bkH8R737Qa",6.0,Barbados,Trump,
65,"@Minxky999 @Bunyerd @TopBallCoverage @POTUS @BarackObama #tRump really has you lot duped and fooled ... ""hE dOnAtEs HiS sAlArY tO cHaRiTy""

Idiots ... when you scam this much out of the taxpayers I wouldnt take a salary either 

https://t.co/zLvIr0VRGH",6.0,Barbados,Trump,
66,@HuffPost White women helped elect #tRump in '16 ... so yeh ... it can get pretty bad,2.0,Barbados,Trump,
67,@tacosallday91 @JuliaDitzy @ef_this_noise @HuffPost Very bold of you to assume #tRump supporters know how to accurately use Google,1.0,Barbados,Trump,
68,"It's #ElectionNight  and as we wait on the results 
#Trump 
#Biden
#Kanye 
we never can be sure  how these things can trun out one thing we no for sure #KanyeWestVotedForHimself .But what were not sure of is how will #GenZ and those #Millennials #VoteToSaveAmerica https://t.co/pxjqthWdxZ",1.0,Barbados,Trump,
69,‘These evil attacks must stop!’: #Trump condemns ‘vile terrorism’ after #Vienna shooting spree — RT World News @realDonaldTrump https://t.co/2QlBR9PT4Y,3.0,Belarus,Trump,
70,"President #DonaldTrump didn't take one iota of advice on how to rig an election. Hello? I just showed you how it was done 3 months ago, for chrissake. The man cannot take notes, make decisions, or stick to a fake story. #DictatorTrump is the worst fake dictator in human history.",2.0,Belarus,Trump,
71,"American President #DonaldTrump made a request to me, urging that I send some of my special police forces to the USA this week to crack down on the Democrats there in exchange for economic aid. I flatly rejected his offer, saying I need them for my own skull-cracking purposes.",1.0,Belarus,Trump,
72,"I have a message for American President #DonaldTrump: If he wants to win, he needs to rig it up to 80% of the vote, claim victory, and send in his army &amp; special police forces to skull-crack his opponents protesting the vote. It worked for me... #Election2020 Good luck America!!!",0.0,Belarus,Trump,
